K,new_K,use_global_prior,learning_rate,avg_corr,median_corr,min_corr,silhouette_avg,dbi,cell_type_column,silhouette_NMF,input_conc,best_elbo,cell_type_accuracy,subtissue_accuracy,age_accuracy,wayp,mean_cell_entropy,overall_cell_total_entropy,Source
50,47,False,0.2,0.297070556719668,0.297070556719668,0.297070556719668,-0.0894705,7.349592581954121,cell_type_grouped,,inf,2600779210.4225645,0.4385516407920424,0.3323417309658826,0.5792972018220693,NO,2.481815448043386,266958.96048423485,All Tissues
30,30,False,0.2,0.4981131266707854,0.4981131266707854,0.4981131266707854,-0.07907181,4.702775386302215,cell_type_grouped,,1.2235262,591113908.6327496,0.4554243748256949,0.3626940596820674,0.6304731802547179,NO,2.0181342856433147,217082.6325695088,All Tissues
30,30,True,0.2,0.5154547669028925,0.5154547669028925,0.5154547669028925,-0.070182584,4.880374605251907,cell_type_grouped,,1.1976635,593417752.5427967,0.4687180440643302,0.3661336803941619,0.6390257506739797,NO,2.3447148905324267,252211.601915011,All Tissues
200,7,False,0.2,0.9136726541436786,0.9136726541436786,0.9136726541436786,-0.1799715753422362,14.041355641697814,cell_type_grouped,,inf,2490545013.4194617,0.1765826903411732,0.171888072882774,0.4545877103281584,YES,1.1213252231920805,120616.46895787932,All Tissues
30,30,False,0.2,0.3809895414774487,0.3809895414774487,0.3809895414774487,-0.093983315,6.45638237248558,cell_type_grouped,,inf,2672066579.889923,0.4361810913823556,0.3220693501905736,0.5450869201450218,NO,2.0112153363195704,216338.38886655093,All Tissues
30,30,False,0.2,0.9542533745964038,0.9542533745964038,0.9542533745964038,-0.0751497187094503,7.147515168842138,cell_type_grouped,,inf,2685917388.386949,0.4375290508506089,0.3260202658733848,0.5763223947197174,YES,2.2796927107218488,245217.4261215064,All Tissues
200,7,True,0.2,0.9135723483267392,0.9135723483267392,0.9135723483267392,-0.1791338310458702,13.318277144251468,cell_type_grouped,,inf,2486581439.8437204,0.1773728734777354,0.1714697406340057,0.4581202937622013,YES,1.1184702510405302,120309.37102342569,All Tissues
30,27,True,0.2,0.9845284215341964,0.9845284215341964,0.9845284215341964,-0.076278968767372,5.027218807364099,cell_type_grouped,,1.2038109,592406107.407792,0.4405503393139351,0.3540020451798829,0.617830250069722,YES,2.1710162716623347,233527.53627763072,All Tissues
30,25,False,0.2,0.9842222263637802,0.9842222263637802,0.9842222263637802,-0.0823865372655547,5.161744776339647,cell_type_grouped,,1.1946343,593065457.4922833,0.4387840475969136,0.3508413126336339,0.6156456261039324,YES,2.0845517125370985,224226.8895107656,All Tissues
50,43,True,0.2,0.4999898471594618,0.4999898471594618,0.4999898471594618,-0.079913035,5.150216837235399,cell_type_grouped,,1.1834178,594450409.3614565,0.4837780050199869,0.3746862508134238,0.6369340894301385,NO,2.6563568807942803,285733.68423951755,All Tissues
50,47,True,0.2,0.94462136179277,0.94462136179277,0.94462136179277,-0.0918783202494881,7.262548929645525,cell_type_grouped,,inf,2626265422.679512,0.4451519940503858,0.3331319141024449,0.583527005670726,YES,2.485850634607354,267393.0093621746,All Tissues
30,30,True,0.2,0.9537376603202904,0.9537376603202904,0.9537376603202904,-0.07625881790844,7.209252850786719,cell_type_grouped,,inf,2685940530.9528666,0.4393418239286046,0.3287626661708654,0.5808310867342196,YES,2.2815092619479773,245412.8252706961,All Tissues
50,48,True,0.2,0.2397088241705727,0.2397088241705727,0.2397088241705727,-0.09663306,6.803647437913297,cell_type_grouped,,inf,2728739343.891488,0.4575625174305103,0.3440085525704192,0.5880356976852282,NO,2.4610534020108625,264725.6702407004,All Tissues
50,40,False,0.2,0.5126696248412996,0.5126696248412996,0.5126696248412996,-0.08210762,5.152066075045558,cell_type_grouped,,1.2264025,592660158.4664428,0.4760620990982616,0.3802640141303337,0.6310774379473831,NO,2.3263343657938007,250234.482390976,All Tissues
30,30,True,0.2,0.3313326905851046,0.3313326905851046,0.3313326905851046,-0.08913575,7.05058717193184,cell_type_grouped,,inf,2772739864.3263054,0.431393511202008,0.3307613646927582,0.5782746118806359,NO,2.2290633237518485,239771.42548269132,All Tissues
50,14,True,0.3,0.9953598271183371,0.9953598271183371,0.9953598271183371,0.0523870198271624,4.550194878027878,cell_ontology_class,,1.0007946,88375993.01422594,0.8727959697732998,0.3256926952141058,0.5884130982367758,YES,1.5053397142842282,29879.487988827645,BrainOnly
