cell_id,psap_expression
K15-MAA000947-3_9_M-1-1,3.177266
K17-MAA000947-3_9_M-1-1,3.5052316
K20-MAA000947-3_9_M-1-1,3.179882
K21-MAA000947-3_9_M-1-1,2.8807383
K4-MAA000563-3_10_M-1-1,2.991878
L13-B001688-3_38_F-1-1,3.4114804
L14-MAA000947-3_9_M-1-1,2.4874363
L17-MAA001894-3_39_F-1-1,3.1819234
L18-MAA000560-3_10_M-1-1,3.611542
L18-MAA000641-3_9_M-1-1,2.5912998
L19-MAA000947-3_9_M-1-1,3.352406
L22-MAA000563-3_10_M-1-1,3.0427477
L3-B003274-3_38_F-1-1,1.6803173
L3-MAA000563-3_10_M-1-1,2.9483726
L4-MAA000932-3_11_M-1-1,1.6444124
L5-B003277-3_39_F-1-1,3.444078
L5-MAA000942-3_8_M-1-1,2.710016
L7-MAA000942-3_8_M-1-1,3.240604
L9-MAA001894-3_39_F-1-1,3.1413155
M11-MAA000942-3_8_M-1-1,2.8220518
M13-MAA001856-3_39_F-1-1,2.8388267
M14-MAA000941-3_8_M-1-1,3.0322437
M17-MAA000564-3_10_M-1-1,3.7815266
M17-MAA000947-3_9_M-1-1,3.0720966
M18-MAA000902-3_11_M-1-1,3.5350301
M19-B003277-3_39_F-1-1,3.113257
M19-MAA000932-3_11_M-1-1,2.7308993
M21-MAA000930-3_8_M-1-1,2.964187
M4-MAA000564-3_10_M-1-1,3.4283442
M5-MAA000560-3_10_M-1-1,3.4533122
M5-MAA000935-3_8_M-1-1,3.1754417
M6-MAA000902-3_11_M-1-1,1.8330617
N11-MAA000923-3_9_M-1-1,3.060261
N14-MAA001856-3_39_F-1-1,2.7786064
N15-MAA000553-3_10_M-1-1,2.6352823
N16-MAA000941-3_8_M-1-1,2.9991362
N19-MAA000947-3_9_M-1-1,3.3201604
N3-MAA000564-3_10_M-1-1,3.3850987
N3-MAA000902-3_11_M-1-1,2.9060245
N3-MAA001894-3_39_F-1-1,2.761511
N4-MAA000932-3_11_M-1-1,2.7670944
N5-MAA000560-3_10_M-1-1,2.3699663
N6-MAA000941-3_8_M-1-1,3.1332269
N7-MAA000942-3_8_M-1-1,2.8410673
N8-MAA000902-3_11_M-1-1,3.321912
N8-MAA000935-3_8_M-1-1,3.4289029
O10-MAA000641-3_9_M-1-1,2.8832998
O16-MAA000947-3_9_M-1-1,2.9557755
O17-MAA001894-3_39_F-1-1,2.7364058
O21-MAA000553-3_10_M-1-1,2.587062
O3-MAA000942-3_8_M-1-1,3.2828727
O6-B000404-3_56_F-1-1,2.6606693
O7-MAA000942-3_8_M-1-1,2.917524
O8-MAA000935-3_8_M-1-1,3.073574
O9-MAA001894-3_39_F-1-1,2.0627465
P10-B001688-3_38_F-1-1,2.4247193
P10-MAA000926-3_9_M-1-1,2.7842135
P12-MAA001894-3_39_F-1-1,3.0388227
P14-MAA000553-3_10_M-1-1,3.6604352
P15-MAA000941-3_8_M-1-1,3.2253194
P17-MAA000641-3_9_M-1-1,2.786988
P17-MAA001894-3_39_F-1-1,2.1434643
P19-MAA000930-3_8_M-1-1,2.8120255
P20-MAA000923-3_9_M-1-1,2.5542138
P2-MAA000564-3_10_M-1-1,2.624666
P4-MAA000926-3_9_M-1-1,1.8450315
P6-MAA000564-3_10_M-1-1,2.346354
P7-MAA001894-3_39_F-1-1,2.5779765
P9-MAA000926-3_9_M-1-1,2.34159
