,cell_id_index,cell_type,junction_id_index,junc_count,cluster_count,junction_id,Cluster,gene_id,junc_ratio
852897,268,Brain_Non-Myeloid_oligodendrocyte_precursor_cell,549,77.0,88,10_60296002_60299097,5903,Psap,0.875
852898,269,Brain_Non-Myeloid_oligodendrocyte_precursor_cell,549,41.0,96,10_60296002_60299097,5903,Psap,0.4270833333333333
852899,270,Brain_Non-Myeloid_oligodendrocyte_precursor_cell,549,8.0,220,10_60296002_60299097,5903,Psap,0.03636363636363636
852900,271,Brain_Non-Myeloid_oligodendrocyte_precursor_cell,549,281.0,715,10_60296002_60299097,5903,Psap,0.393006993006993
852901,272,Brain_Non-Myeloid_oligodendrocyte_precursor_cell,549,23.0,62,10_60296002_60299097,5903,Psap,0.3709677419354839
852902,273,Brain_Non-Myeloid_oligodendrocyte_precursor_cell,549,56.0,82,10_60296002_60299097,5903,Psap,0.6829268292682927
852903,274,Brain_Non-Myeloid_oligodendrocyte_precursor_cell,549,258.0,380,10_60296002_60299097,5903,Psap,0.6789473684210526
852904,275,Brain_Non-Myeloid_oligodendrocyte_precursor_cell,549,26.0,49,10_60296002_60299097,5903,Psap,0.5306122448979592
852905,276,Brain_Non-Myeloid_oligodendrocyte_precursor_cell,549,63.0,139,10_60296002_60299097,5903,Psap,0.45323741007194246
852906,277,Brain_Non-Myeloid_oligodendrocyte_precursor_cell,549,55.0,87,10_60296002_60299097,5903,Psap,0.632183908045977
852907,278,Brain_Non-Myeloid_oligodendrocyte_precursor_cell,549,14.0,19,10_60296002_60299097,5903,Psap,0.7368421052631579
852908,279,Brain_Non-Myeloid_oligodendrocyte_precursor_cell,549,57.0,208,10_60296002_60299097,5903,Psap,0.27403846153846156
852909,280,Brain_Non-Myeloid_oligodendrocyte_precursor_cell,549,48.0,178,10_60296002_60299097,5903,Psap,0.2696629213483146
852910,281,Brain_Non-Myeloid_oligodendrocyte_precursor_cell,549,12.0,33,10_60296002_60299097,5903,Psap,0.36363636363636365
852911,282,Brain_Non-Myeloid_oligodendrocyte_precursor_cell,549,40.0,145,10_60296002_60299097,5903,Psap,0.27586206896551724
852912,283,Brain_Non-Myeloid_oligodendrocyte_precursor_cell,549,15.0,42,10_60296002_60299097,5903,Psap,0.35714285714285715
852913,284,Brain_Non-Myeloid_oligodendrocyte_precursor_cell,549,82.0,136,10_60296002_60299097,5903,Psap,0.6029411764705882
852914,285,Brain_Non-Myeloid_oligodendrocyte_precursor_cell,549,298.0,657,10_60296002_60299097,5903,Psap,0.4535768645357686
852915,286,Brain_Non-Myeloid_oligodendrocyte_precursor_cell,549,49.0,49,10_60296002_60299097,5903,Psap,1.0
